Latitude,Longitude,stage_ft,name
31.80319,-106.5413,2.33,Rio Grande at El Paso (Courchesne Bridge)
32.60333,-97.26472,3.1,Village Creek at Everman
30.35556,-94.09306,8.53,Neches River at Evadale
31.87944,-100.5169,1861.66,West Central Texas Lakes at E. V. Spence Reservoir
28.95139,-98.06389,0.92,San Antonio River at Falls City
27.26417,-98.13556,1.05,Los Olmos Creek at Falfurrias
26.55972,-99.16666,259.87,Rio Grande at Falcon Lake
29.82583,-96.58056,5.7,Cummins Creek at Frelsburg
29.01389,-97.93,0.75,Cibolo Creek at Falls City
30.25833,-95.56361,121.27,Lake Creek at The Woodlands
32.04028,-96.20639,314.03,North Texas Lakes at Richland-Chambers Lake
29.72278,-99.75333,3.02,Frio River at at Leakey
29.11,-98.17445,4.28,San Antonio River at Floresville
32.78917,-97.41611,592.89,North Texas Lakes at Lake Worth
31.0875,-105.6097,7.36,Rio Grande at Fort Quitman
30.22028,-98.86945,5.11,Pedernales River at Fredericksburg
32.8,-96.49583,434.42,North Texas Lakes at Lake Ray Hubbard
29.79889,-96.53194,10.47,Redgate Creek at Frelsburg
27.96472,-98.96667,3.89,San Casimiro Creek at Freer
32.73222,-97.35861,8.33,Clear Fork Trinity River at Fort Worth
32.76083,-97.33222,0.68,West Fork Trinity River at Fort Worth
31.43472,-97.75833,2.6,Leon River at Gatesville
29.69778,-98.10639,9.61,Guadalupe River at Comal
29.91806,-95.30666,39.4,Greens Bayou at Houston
29.83694,-95.23306,1.94,Greens Bayou at Houston
32.37417,-97.68889,692.34,North Texas Lakes at Lake Granbury
29.5905,-97.9347,3.96,Geronimo Creek at Seguin 2NE
29.98778,-99.11,3.46,Guadalupe River at Centerpoint
29.31444,-97.30333,5.95,Guadalupe River at Hwy 183 near Hochheim
32.52694,-94.96,5.33,Sabine River at Gladewater
30.62556,-97.69083,1.86,San Gabriel River at Georgetown South Fork
30.6675,-97.72722,781.54,San Gabriel River at Lake Georgetown
31.11306,-102.4172,1.01,Pecos River at Girvin
28.64917,-97.38472,3.55,San Antonio River at Goliad
33.62417,-97.15611,1.46,Elm Fork Trinity River at Gainesville
32.25889,-97.70222,4.11,Brazos River at Glen Rose
29.07139,-96.46694,4.83,West Mustang Creek at Ganado
30.69278,-97.32611,504.0,San Gabriel River at Granger Lake
29.48417,-97.45,11.86,Guadalupe River at Gonzales
30.69778,-97.84917,2.06,North Fork San Gabriel River at Ronald Reagan Blvd near Leander 8N
30.9475,-103.7886,4.58,Giffin Springs at Toyahvale
33.13278,-96.07667,4.13,Cowleech Fork Sabine River at Greenville
32.73195,-96.94305,457.45,North Texas Lakes at Mountain Creek Lake
30.55583,-98.33806,824.74,Colorado River (TX) at Lake LBJ
32.7625,-96.99445,2.51,West Fork Trinity River at Grand Prairie
32.9725,-97.05611,534.96,North Texas Lakes at Lake Grapevine
32.3,-97.78667,775.35,North Texas Lakes at Squaw Creek Reservoir
35.00056,-100.8944,2625.5,Salt Fork of the Red River at Greenbelt Lake
30.06944,-99.195,2.52,Guadalupe River at Bear Creek at Kerrville
30.57194,-94.94861,4.43,Trinity River at Goodrich
32.23139,-97.77695,1.87,Paluxy River at Glen Rose
31.57417,-96.52055,1.53,Navasota River at Groesbeck
29.80361,-98.16306,3.61,Guadalupe River at 3rd Crossing nr Sattler
29.6725,-95.52805,38.93,Brays Bayou at Gessner Drive
33.72788,-97.16001,7.93,Red River at Gainesville
30.70306,-97.66611,9.24,Berry Creek at Georgetown
29.89333,-98.66972,4.36,Guadalupe River at FM474 near Bergheim
29.4875,-97.5875,6.39,Guadalupe River at CR 143 near Gonzales
28.05944,-98.09666,3.8,Lagarto Creek at George West
26.17333,-97.68361,5.18,Arroyo Colorado at Harlingen
32.55972,-95.20639,4.89,Sabine River at Hawkins
32.59611,-99.68027,1635.58,West Central Texas Lakes at Lake Fort Phantom Hill
29.69694,-95.41194,16.94,Brays Bayou at Houston
29.51722,-95.17833,1.6,Clear Creek at Friendswood
29.9725,-94.98556,37.65,Cedar Bayou at Crosby
32.83139,-98.9675,1182.54,North Texas Lakes at Hubbard Creek Lake
29.50139,-98.18611,9.13,Cibolo Creek at St. Hedwig
29.44389,-98.16889,2.63,Martinez Creek at Saint Hedwig
30.10944,-95.05972,9.81,Luce Bayou at Huffman
30.00556,-97.9525,1.06,Blanco River at at Halifax Ranch near Kyle
29.95667,-95.41778,66.01,Greens Bayou at Houston
29.775,-95.39694,8.2,White Oak Bayou at Houston
31.13389,-96.82472,3.94,Brazos River at Highbank
31.97639,-98.0325,4.87,North Bosque River at Hico
34.93555,-100.6961,2.51,Lelia Lake Creek at Hedley
31.78861,-98.12111,4.03,Leon River at Hamilton
30.02639,-95.25833,42.87,West Fork San Jacinto River at Humble
30.06389,-99.38667,1.42,North Fork Guadalupe River at Hunt
30.06972,-99.32139,7.71,Guadalupe River at Hunt
31.83278,-99.56055,1888.48,West Central Texas Lakes at Hords Creek Lake
30.12889,-96.1875,10.97,Brazos River at Hempstead
29.67417,-95.28917,1.74,Sims Bayou at Houston
29.91611,-95.14111,42.46,San Jacinto River at Lake Houston
33.82677,-98.24004,6.07,Little Wichita River at Henrietta
29.4431,-96.9447,2.14,Lavaca River at Hallettsville
33.81288,-98.08504,4.82,East Fork Little Wichita River at Henrietta
32.59818,-99.81509,1.63,Clear Fork Brazos River at Hawley
30.73111,-98.38472,887.09,Colorado River (TX) at Inks Lake
33.98676,-98.75201,1047.05,North Fork Buffalo Creek at NF Buffalo Cr. Reservoir
33.89694,-98.70722,7.0,Wichita River at Iowa Park
32.53917,-101.0553,3.22,Colorado River (TX) at Ira 4SW...below J. B. Thomas
27.48611,-97.31694,0.99,Gulf of Mexico Tide Gauge at Bird Island
33.29167,-98.08028,3.64,West Fork Trinity River at Jacksboro
32.62861,-101.285,0.73,Colorado River (TX) at Gail
32.59306,-101.1378,2239.14,Colorado River (TX) at Lake JB Thomas
30.1,-99.28278,0.19,Johnson Creek at Ingram
30.51722,-99.80583,7.35,North Llano River at Junction
32.77778,-94.35722,4.29,Black Cypress Bayou at Jefferson
32.74944,-94.49861,8.53,Big Cypress Creek at Jefferson
32.71278,-94.34583,3.12,Little Cypress Creek at Jefferson
31.97639,-95.16055,1.94,Mud Creek at Jacksonville
30.50417,-99.73417,1.53,Llano River at Junction
30.07917,-101.1097,4.4,Devils River at Cauthorn Ranch near Juno
30.29167,-98.39917,10.32,Pedernales River at Johnson City
32.64333,-97.00083,522.0,North Texas Lakes at Joe Pool  Lake
31.06075,-94.10603,163.21,Angelina River at Lake Sam Rayburn
33.03833,-101.1972,5.89,Brazos River at Justiceburg
31.07917,-98.01639,1.28,Lampasas River at Kempner
29.95,-95.80806,145.56,Cypress Creek at Hockley
27.52583,-97.86723,1.08,Tranquitas Creek at Kingsville
32.38806,-94.90305,3.83,Rabbit Creek at Kilgore
29.54083,-97.03778,0.12,Lavaca River at Komensky
31.27389,-100.6306,2.95,Dove Creek (Concho River Basin) at Knickerbocker
30.5575,-98.47195,5.42,Sandy Creek at Kingsland
30.39778,-94.26334,4.73,Village Creek at Kountze
30.05306,-99.16306,1.52,Guadalupe River at Kerrville
35.47306,-100.1206,6.28,Sweetwater Creek at Kelton
29.37611,-99.11667,0.58,Hondo Creek at SH 173 near Hondo
29.97917,-97.90972,2.98,Blanco River at Kyle
29.32389,-98.81277,6.41,Medina River at La Coste
32.71611,-97.19222,546.71,North Texas Lakes at Lake Arlington
30.02081,-98.33056,3.61,Little Blanco River at FM32 near Fischer
31.83694,-99.00361,1424.48,Pecan Bayou at Lake Brownwood
30.0575,-94.81805,7.63,Trinity River at Liberty
36.23861,-100.2753,5.41,Wolf Creek at Lipscomb
29.59306,-98.59917,1.22,Leon Creek at I-10 and Loop 1604
33.24333,-98.11972,1009.02,North Texas Lakes at Lost Creek Reservoir
30.27389,-97.84444,1.74,Lost Creek at Lost Creek Blvd
32.28889,-97.415,731.96,North Texas Lakes at Lake Pat Cleburne
32.3433,-94.6412,279.66,Cherokee Bayou at Lake Cherokee
30.35833,-95.56084,199.7,West Fork San Jacinto River at Lake Conroe
27.50139,-99.50361,1.23,Rio Grande at Laredo
29.44778,-98.63361,4.57,Leon Creek at Loop 410 near Leon Valley
33.06917,-96.96416,521.57,North Texas Lakes at Lake Lewisville
32.81333,-95.52778,401.51,Lake Fork Creek at Lake Fork
29.91222,-96.90361,3.05,Colorado River (TX) at La Grange
33.06278,-101.0472,2218.7,Brazos River at Lake Alan Henry
30.71611,-94.95861,3.03,Long King Creek at Livingston
32.03,-99.465,1717.11,West Central Texas Lakes at Lake Coleman
30.46556,-97.78778,2.32,Lake Creek at Lake Creek Parkway near Cedar Park 5SE
29.32972,-98.58389,1.93,Leon Creek at San Antonio I-35 South
30.75111,-98.66944,2.05,Llano River at Llano
32.36361,-98.67528,1373.91,North Texas Lakes at Lake Leon
29.66611,-97.65056,4.31,San Marcos River at Luling
31.325,-96.31889,362.18,North Texas Lakes at Lake Limestone
29.86694,-95.64639,96.49,Langham Creek at Addicks
29.07056,-96.41695,3.56,East Mustang Creek at Louise
33.13445,-98.61333,1073.03,North Texas Lakes at Lake Graham
27.57583,-99.50611,5.07,Manadas Creek at Laredo
32.26167,-94.57306,304.93,Martin Creek at Martin Creek Lake
32.03444,-94.42083,265.08,Murvaul Bayou at Lake Murvaul
29.78076,-101.756,1.57,Rio Grande at Foster Ranch
25.87639,-97.45556,3.83,Rio Grande at Lower Brownsville
31.64833,-95.78917,4.88,Trinity River at Long Lake (Oakwood)
32.41667,-94.70972,3.03,Sabine River at Longview
32.6475,-98.26889,866.55,North Texas Lakes at Lake Palo Pinto
32.05333,-95.43667,344.76,Neches River at Lake Palestine
30.96639,-97.34583,1.24,Little River at Little River
30.72722,-98.81445,1074.17,Llano River at County Road 102
29.34528,-99.74889,4.24,Leona River at CR 429A near Uvalde
33.5547,-101.7881,6.5,Brazos River at Lubbock 4ESE
33.0625,-99.57917,1416.68,West Central Texas Lakes at Lake Stamford
29.06556,-96.67445,5.46,Navidad River at Strane Park
29.30792,-100.4192,1.95,Las Moras Creek at Brackettville
32.43861,-100.3033,2113.45,West Central Texas Lakes at Lake Sweetwater
32.72833,-96.17333,503.58,North Texas Lakes at New Terrell City Lake
29.80278,-101.4458,1.49,Pecos River at Langtry
28.89193,-96.57775,43.27,Navidad River at Lake Texana
29.69944,-97.60333,4.62,Plum Creek at Luling
30.63333,-95.01,130.78,Trinity River at Lake Livingston
33.03167,-96.48222,489.6,North Texas Lakes at Lake Lavon
30.10528,-95.54639,111.91,Willow Creek at Tomball
32.7725,-97.67445,894.69,North Texas Lakes at Lake Weatherford
30.35417,-97.69778,0.31,Little Walnut Creek (TX) at Georgian Drive near Austin 7N
32.34167,-96.805,529.94,North Texas Lakes at Lake Waxahachie
30.41944,-96.54,2.42,Davidson Creek at Lyons
26.13056,-98.33611,103.24,Rio Grande at Anzalduas Reservior
30.64333,-99.09556,1.03,Beaver Creek (Llano River Basin) at Mason
29.94188,-94.77437,3.5,Trinity River at Moss Bluff
33.76009,-99.14285,1.09,Wichita River at Mabelle
31.50917,-97.36555,2.56,Middle Bosque River at McGregor
33.20361,-96.59556,4.14,East Fork Trinity River at McKinney
30.18639,-93.90833,7.01,Cow Bayou at Mauriceville
29.54,-98.93361,1022.05,Medina River at Medina Lake
30.88417,-95.7775,1.78,Bedias Creek at Madisonville
29.69444,-98.97945,4.91,Medina River at Engligh Crossing near Pipe Creek
29.79389,-99.24861,4.03,Medina River at Patterson Road at Medina
33.77389,-97.21389,714.03,North Texas Lakes at Moss Lake
30.55583,-98.25723,736.32,Colorado River (TX) at Lake Marble Falls
28.53111,-97.04278,15.01,San Antonio River at McFaddin
28.48278,-97.65639,5.83,Medio Creek at Beeville
34.54528,-101.4378,3012.12,Tule Draw at Mackenzie Reservior
32.61361,-95.48556,1.02,Sabine River at Mineola
31.51722,-98.74028,5.53,Pecan Bayou at Mullin
30.66056,-99.10889,5.0,Llano River at Mason
29.33472,-98.68945,0.69,Medina River at Macdona
32.81667,-98.04166,863.23,North Texas Lakes at Lake Mineral Wells
32.58083,-97.10167,6.18,Walnut Creek at Mansfield
30.91906,-99.78562,2.62,San Saba River at Menard
29.13528,-96.74416,6.95,Navidad River at Morales
28.69917,-95.975,1.54,Colorado River (TX) at Matagorda
35.71056,-101.5508,2886.63,Canadian River at Lake Meredith
30.39159,-97.90695,663.58,Colorado River (TX) at Lake Travis
28.03806,-97.86,0.85,Nueces River at Mathis
28.03806,-97.87083,92.25,Nueces River at Lake Corpus Christi
28.92778,-96.17083,3.5,Tres Palacios River at Midfield
28.86472,-98.33806,5.23,Atascosa River at McCoy
33.85278,-95.54389,450.03,North Texas Lakes at Pat Mayse Lake
29.70583,-98.12222,4.06,Comal River at New Braunfels
29.68806,-98.15472,5.21,Dry Comal at Loop 337
29.71472,-98.10972,1.73,Guadalupe River at Comal River at New Braunfels
30.81889,-93.78555,7.39,Big Cow Creek at Newton
30.14528,-95.12417,46.22,East Fork San Jacinto River at New Caney
31.89222,-95.43056,3.61,Neches River at Neches
32.22,-101.6292,2447.27,Beals Creek at Natural Dam Salt Lake
28.89111,-96.81889,6.38,Garcitas Creek at Inez
30.97361,-96.24139,1.77,Navasota River at Normangee
32.69,-99.66917,1.74,Clear Fork Brazos River at Nugent
29.52639,-100.0183,0.52,Nueces River at CR 414 near Montell
33.8825,-97.6525,826.61,North Texas Lakes at Lake Nocona
29.87528,-99.34861,3.81,North Prong Medina River at Brewington Creek
30.15667,-94.11417,2.05,Neches River at Saltwater Barrier
29.71883,-100.0396,12.56,Nueces River at Barksdale
30.1319,-93.7866,1.12,Adams Bayou at FM 4247
29.1119,-95.6766,1.61,San Bernard River at Old Ocean
30.29611,-97.92528,2.06,Barton Creek at Hwy 71 near Oak Hill
31.5,-99.66805,1536.85,West Central Texas Lakes at O.H. Ivie Reservoir
33.2747,-94.8025,10.74,White Oak Creek at Omaha at Interstate 30
30.12611,-97.82083,3.62,Onion Creek at Twin Creeks near Manchaca
27.71111,-97.50166,6.35,Oso Creek at Corpus Christi
32.6725,-94.75083,3.0,Little Cypress Creek at Ore City
30.1079,-93.8963,1.22,Cow Bayou at FM 1442
31.8725,-103.8311,2.35,Pecos River at Orla
30.09722,-93.72111,2.15,Sabine River at Orange
27.61889,-97.23389,0.71,Gulf of Mexico Tide Gauge at Packery Channel
33.02083,-94.88194,4.46,Big Cypress Creek at Pittsburg
28.45028,-96.38417,0.15,Gulf of Mexico Tide Gauge at Port O&#039;Connor
31.48389,-103.4903,3.29,Pecos River at Pecos
31.96861,-98.48583,1161.32,North Texas Lakes at Proctor Lake
30.125,-101.5722,0.85,Pecos River at Pandale Crossing
28.75139,-97.31694,2.82,Perdido Creek at Fannin
29.68556,-97.23055,3.1,Peach Creek at Hwy 90 near Waelder
31.36667,-103.0056,4.51,Pecos River at Grandfalls
31.28472,-97.88472,3.44,Cowhouse Creek at Pidcoke
29.60389,-104.4519,9.71,Rio Grande at Presidio
32.8625,-98.30222,1.58,Brazos River at Palo Pinto
28.725,-96.76861,4.23,Placedo Creek at Placedo
32.80861,-95.91944,436.8,North Texas Lakes at Lake Tawakoni
34.17889,-101.7022,0.21,Salt Fork - Brazos River at Plainview
30.1412,-95.3381,57.16,West Fork San Jacinto River at Porter
29.14583,-100.7181,-0.2,Pinto Creek at Del Rio
29.74667,-95.52333,29.8,Buffalo Bayou at Piney Point Village
29.52083,-104.2944,3.34,Alamito Creek at Presidio
29.52,-104.2864,2.19,Rio Grande at Presidio
31.51583,-99.91917,12.74,Concho River at Paint Rock
29.5968,-95.2972,32.65,Clear Creek at Telephone Road
29.55778,-104.3936,4.41,Rio Grande at Presidio International Bridge
32.87222,-98.42555,998.66,North Texas Lakes at Possum Kingdom Lake
33.95056,-100.0644,3.39,North Wichita River at Paducah 14SE
34.35452,-99.74037,6.55,Groesbeck Creek at Quanah
32.89778,-96.25306,4.37,South Fork Sabine River at Quinlan
32.76306,-95.46278,2.93,Lake Fork Creek at Quitman
29.673,-98.96,3.24,Red Bluff Creek at  at FM 1283 near Pipe Creek
27.89667,-97.62527,2.04,Ricon Bayou Channel at Calallen
28.30333,-97.11222,2.35,Copano Creek at Refugio
32.19833,-96.52,5.13,Chambers Creek at Rice
31.915,-106.6022,2.25,Rio Grande at Canutillo
28.0175,-97.03555,0.55,Gulf of Mexico Tide Gauge at Rockport
28.29167,-97.27889,2.5,Mission River at Refugio
31.88528,-100.4803,0.77,Colorado River (TX) at Robert Lee
31.77722,-106.5239,3.66,Rio Grande at American Canal Diversion
26.36667,-98.80278,25.56,Rio Grande at Rio Grande City
31.90111,-103.9097,2821.93,Pecos River at Red Bluff Reservoir
30.76056,-97.01361,4.28,Little River at Rockdale
29.58222,-95.7575,9.69,Brazos River at Richmond
30.425,-94.85056,10.83,Trinity River at Romayor
31.025,-94.39944,3.75,Neches River at Rockland
